suite,operation,engine,index_type,metric,wal,num_base,k,concurrency,scenario,selectivity,ops,throughput_ops_sec,recall_at_k,mean_ms,p50_ms,p95_ms,p99_ms,failed
key_value,put,key-value,,,False,100000,0,16,,-1.0,100000,65581.74682338911,-1.0,0.2222924061073536,0.19760999930440448,0.38359999962267466,0.5622299995593494,0
key_value,get,key-value,,,False,100000,0,1,,-1.0,100000,12392.851892059378,-1.0,0.07914905475079649,0.07070000174280722,0.10554000073170755,0.1470099996367935,0
key_value,get,key-value,,,False,100000,0,2,,-1.0,100000,21589.880487421724,-1.0,0.089976159572725,0.0772299990785541,0.14899000052537303,0.23345999943558127,0
key_value,get,key-value,,,False,100000,0,4,,-1.0,100000,24924.30971294717,-1.0,0.15509749199902217,0.14784999984840397,0.21637999998347368,0.28143000054114964,0
key_value,get,key-value,,,False,100000,0,8,,-1.0,100000,44690.66456228028,-1.0,0.16915479714905815,0.15466999866475817,0.263039999481407,0.38795000000391155,0
key_value,get,key-value,,,False,100000,0,16,,-1.0,100000,61893.70209844559,-1.0,0.2362150487216968,0.20561000019370113,0.4002599998784717,0.6042199984221952,0
key_value,delete,key-value,,,False,100000,0,16,,-1.0,100000,53763.597555108994,-1.0,0.2766870746697896,0.20843899983447045,0.4077100002177758,0.6322200006252388,0
key_value,put,key-value,,,True,100000,0,16,,-1.0,100000,652.9264590359428,-1.0,24.473717355824757,24.28768699974171,27.844905000165454,32.29483599898231,0
key_value,get,key-value,,,True,100000,0,1,,-1.0,100000,13210.809926791831,-1.0,0.074160135641323,0.0693299989507068,0.09938899893313646,0.12584000069182366,0
key_value,get,key-value,,,True,100000,0,2,,-1.0,100000,21179.767395448205,-1.0,0.09145992561168896,0.07960999937495217,0.15082999925652985,0.2273699992656475,0
key_value,get,key-value,,,True,100000,0,4,,-1.0,100000,24665.790258258632,-1.0,0.1566496637092132,0.1508900004409952,0.2186110014008591,0.2812899983837269,0
key_value,get,key-value,,,True,100000,0,8,,-1.0,100000,44742.81460811894,-1.0,0.16917702595032097,0.15593999887641985,0.26090999926964287,0.3683000013552373,0
key_value,get,key-value,,,True,100000,0,16,,-1.0,100000,63862.30016968886,-1.0,0.22735001075992842,0.20165000023553148,0.3827399996225722,0.5617199985863408,0
key_value,delete,key-value,,,True,100000,0,16,,-1.0,100000,657.6683049936098,-1.0,24.298247885159505,24.15193900014856,27.76904900019872,32.14957899945148,0
