suite,operation,engine,index_type,metric,wal,num_base,k,concurrency,scenario,selectivity,ops,throughput_ops_sec,recall_at_k,mean_ms,p50_ms,p95_ms,p99_ms,failed
vector_search,insert,vector,"IVF256,PQ16",L2,False,50000,0,16,,-1.0,50000,22162.39975890372,-1.0,0.6536204848998659,0.5148099999132683,1.3015609997637512,2.4844009999469563,0
vector_search,search,vector,"IVF256,PQ16",L2,False,50000,10,1,,-1.0,10000,2048.000731486963,0.34021,0.4770649252024214,0.4517600000326638,0.6485600001724379,0.8316199996443174,0
vector_search,search,vector,"IVF256,PQ16",L2,False,50000,10,2,,-1.0,10000,3021.7284664726294,0.34021,0.6394977139977527,0.619370000094932,0.8465799996884016,1.124470999911864,0
vector_search,search,vector,"IVF256,PQ16",L2,False,50000,10,4,,-1.0,10000,5799.114047775581,0.34021,0.6389311875992008,0.5927000001975102,0.9590200002094207,1.2373209997349477,0
vector_search,search,vector,"IVF256,PQ16",L2,False,50000,10,8,,-1.0,10000,7890.846831123846,0.34021,0.897858412801088,0.834840000152326,1.439230999949359,1.7394410001543292,0
vector_search,search,vector,"IVF256,PQ16",L2,False,50000,10,16,,-1.0,10000,8236.451027969568,0.34021,1.5789735081981688,1.4389709999704792,2.977112000280613,4.093713000202115,0
vector_search,insert,vector,"IVF256,PQ16",L2,True,50000,0,16,,-1.0,50000,630.5354398961285,-1.0,25.25914446249897,25.23909299998195,28.692289999980858,30.259834000389674,0
vector_search,search,vector,"IVF256,PQ16",L2,True,50000,10,1,,-1.0,10000,1981.8380308015264,0.34597,0.493134451800006,0.46722100023544044,0.6770609998056898,0.8586110002397618,0
vector_search,search,vector,"IVF256,PQ16",L2,True,50000,10,2,,-1.0,10000,2951.794556577187,0.34597,0.6557195419011805,0.6343999998534855,0.8625509999546921,1.1635610003395414,0
vector_search,search,vector,"IVF256,PQ16",L2,True,50000,10,4,,-1.0,10000,5625.45115485381,0.34597,0.6573738169019634,0.6107200001679303,0.9898710000015853,1.2767410003107216,0
vector_search,search,vector,"IVF256,PQ16",L2,True,50000,10,8,,-1.0,10000,7798.6786941998525,0.34597,0.8974905173021398,0.8355600002687424,1.424862000021676,1.7225620003955555,0
vector_search,search,vector,"IVF256,PQ16",L2,True,50000,10,16,,-1.0,10000,7773.292460201364,0.34597,1.6627487294994352,1.5110919998733152,3.1159840000327677,4.255494000062754,0
