suite,operation,engine,index_type,metric,wal,num_base,k,concurrency,scenario,selectivity,ops,throughput_ops_sec,recall_at_k,mean_ms,p50_ms,p95_ms,p99_ms,failed
vector_search,insert,vector,"IVF128,Flat",L2,False,500000,0,16,,-1.0,500000,30950.34379117512,-1.0,0.48230153725799757,0.4046600006404333,0.9759499989741016,1.4304299984360114,0
vector_search,search,vector,"IVF128,Flat",L2,False,500000,10,1,,-1.0,10000,1486.521010133155,0.53252,0.6519506426167936,0.6329909992928151,0.8516010020684917,0.9917300012602936,0
vector_search,search,vector,"IVF128,Flat",L2,False,500000,10,2,,-1.0,10000,2037.8975660409158,0.53252,0.9301931007084931,0.9259399994334672,1.1762899994209874,1.3158510009816382,0
vector_search,search,vector,"IVF128,Flat",L2,False,500000,10,4,,-1.0,10000,4193.403747803178,0.53252,0.8170929460418848,0.7755609985906631,1.171659998362884,1.338200003374368,0
vector_search,search,vector,"IVF128,Flat",L2,False,500000,10,8,,-1.0,10000,5680.656039012387,0.53252,0.9699204190121236,0.9325299979536794,1.3661099983437452,1.6173000003618654,0
vector_search,search,vector,"IVF128,Flat",L2,False,500000,10,16,,-1.0,10000,5449.516439642287,0.53252,1.4409440750194336,1.3630600005853921,2.220449998276308,2.7808999984699767,0
vector_search,insert,vector,"IVF128,Flat",L2,True,500000,0,16,,-1.0,500000,643.0819980377793,-1.0,24.84371639684392,24.74838399939472,28.4264340007212,30.13159500187612,0
vector_search,search,vector,"IVF128,Flat",L2,True,500000,10,1,,-1.0,10000,1487.0107755201382,0.52785,0.6518806734104146,0.636349999695085,0.8424500010733027,0.9698499998194166,0
vector_search,search,vector,"IVF128,Flat",L2,True,500000,10,2,,-1.0,10000,2045.4048684262696,0.52785,0.9306270730168762,0.9280199992645066,1.1733499995898455,1.3145399971108418,0
vector_search,search,vector,"IVF128,Flat",L2,True,500000,10,4,,-1.0,10000,4186.593087909461,0.52785,0.820746888296344,0.7742300003883429,1.1903699996764772,1.3662800010934006,0
vector_search,search,vector,"IVF128,Flat",L2,True,500000,10,8,,-1.0,10000,5653.48294458106,0.52785,0.9606102585850749,0.9212900004058611,1.352619998215232,1.5986899998097215,0
vector_search,search,vector,"IVF128,Flat",L2,True,500000,10,16,,-1.0,10000,3953.434783098646,0.52785,1.4220708454027773,1.3343699974939227,2.2099099987826776,2.7549309997993987,0
