suite,operation,engine,index_type,metric,wal,num_base,k,concurrency,scenario,selectivity,ops,throughput_ops_sec,recall_at_k,mean_ms,p50_ms,p95_ms,p99_ms,failed
metadata_filter,insert,vector,Flat,L2,False,50000,0,16,,-1.0,50000,25054.02721833413,-1.0,0.5662778296789748,0.4416609999680077,1.0160520000681572,4.394758000216825,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,1,category_eq,0.1,10000,346.97242612253245,0.99997,2.8695708283020394,2.6519150001149683,4.178267000042979,4.559019000225817,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,2,category_eq,0.1,10000,569.1803383965624,0.99997,3.4868031623003395,3.3516960002089036,5.9321120002095995,6.715021999752935,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,4,category_eq,0.1,10000,1247.8118961739349,0.99997,3.1483986047002874,3.0080550000093353,4.544589000033739,5.606520000128512,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,8,category_eq,0.1,10000,2426.066704071341,0.99997,3.153431613802195,2.9165959999772895,4.69248899980812,6.8005920002178755,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,16,category_eq,0.1,10000,4040.820076708649,0.99997,3.490881839201893,3.015624999989086,6.116700999882596,8.8400869999532,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,1,year_between,0.2,10000,167.38729096009968,0.9999600000000001,5.961026330800042,5.81969199993182,7.447384999977658,7.935735000046407,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,2,year_between,0.2,10000,304.85086857446333,0.9999600000000001,6.520514913101806,5.93702200012558,11.093912000433193,12.648195000110718,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,4,year_between,0.2,10000,552.3488839526808,0.9999600000000001,7.170183992104103,6.8530539997482265,10.35210999998526,12.490804999742977,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,8,year_between,0.2,10000,1155.3946202485986,0.9999600000000001,6.7438016398027685,6.511832999876788,9.430148999854282,11.757112999930541,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,16,year_between,0.2,10000,2031.6032169794287,0.9999600000000001,7.382511803801253,6.772512999759783,11.971643999913795,16.65200299976277,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,1,price_lt_500_and_cat_in,0.15,10000,200.77489275855189,0.99995,4.967476659699378,4.987100000107603,6.402543000149308,6.846193000001222,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,2,price_lt_500_and_cat_in,0.15,10000,364.7953798437518,0.99995,5.4527645634999775,5.079879999811965,9.289837999858719,10.713951000070665,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,4,price_lt_500_and_cat_in,0.15,10000,697.878313978821,0.99995,5.656222132801623,5.4671810003128485,8.136807000028057,9.571369000241248,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,8,price_lt_500_and_cat_in,0.15,10000,1404.6716920334436,0.99995,5.575645298901554,5.301880999923014,8.015316000182793,10.012199999891891,0
metadata_filter,filtered_search,vector,Flat,L2,False,50000,10,16,price_lt_500_and_cat_in,0.15,10000,2412.4510821172785,0.99995,6.127143183301996,5.423970999800076,10.273231000155647,14.971699999932753,0
metadata_filter,insert,vector,Flat,L2,True,50000,0,16,,-1.0,50000,482.67692182185647,-1.0,32.99657756852058,32.84971699986272,37.42958499969973,39.36944899987793,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,1,category_eq,0.1,10000,333.9062369885827,0.99997,2.9820216987986896,2.9093960001773667,4.215269000269473,4.54767900009756,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,2,category_eq,0.1,10000,555.5307030253929,0.99997,3.571625986004756,3.3365670001330727,5.969212999843876,6.940104000022984,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,4,category_eq,0.1,10000,1170.2705313076603,0.99997,3.361951136603193,3.226156999971863,4.829121000057057,5.925441999806935,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,8,category_eq,0.1,10000,2313.725491430069,0.99997,3.2892355711993333,2.9842160001862794,4.958399999850371,7.336235000366287,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,16,category_eq,0.1,10000,3843.966932051313,0.99997,3.6891852176003797,3.1406859998242,6.55984399963927,9.803061000184243,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,1,year_between,0.2,10000,157.25785847694655,0.9999600000000001,6.3453370074922075,6.222393999905762,7.960215999901266,8.42988799968225,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,2,year_between,0.2,10000,290.9984915884215,0.9999600000000001,6.825488444501753,6.313806999969529,11.490814999888244,13.591770999482833,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,4,year_between,0.2,10000,576.7930089016104,0.9999600000000001,6.835345683105151,6.531559999530145,9.964757000489044,12.031504999868048,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,8,year_between,0.2,10000,1178.4562954116384,0.9999600000000001,6.616394800202215,6.305912000243552,9.483552999881795,12.02215699959197,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,16,year_between,0.2,10000,1971.9093273733415,0.9999600000000001,7.598299979596777,6.925108999894292,12.262596000255144,17.96316299987666,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,1,price_lt_500_and_cat_in,0.15,10000,204.8807421910943,0.99995,4.868064139799389,4.837101999328297,6.511714999760443,6.971653000618971,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,2,price_lt_500_and_cat_in,0.15,10000,347.3250306845692,0.99995,5.726000772999032,5.285171999275917,9.729591999530385,11.23507200009044,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,4,price_lt_500_and_cat_in,0.15,10000,695.3297807170384,0.99995,5.684135301203696,5.491902999892773,8.1798709998111,9.792942999411025,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,8,price_lt_500_and_cat_in,0.15,10000,1415.6071704971491,0.99995,5.499043835095653,5.225644999882206,7.891383000242058,10.466010999152786,0
metadata_filter,filtered_search,vector,Flat,L2,True,50000,10,16,price_lt_500_and_cat_in,0.15,10000,2389.2015498385676,0.99995,6.228040334697925,5.530954000278143,10.448611000356323,15.208480000183044,0
