suite,operation,engine,index_type,metric,wal,num_base,k,concurrency,scenario,selectivity,ops,throughput_ops_sec,recall_at_k,mean_ms,p50_ms,p95_ms,p99_ms,failed
vector_search,insert,vector,HNSW32,L2,False,100000,0,16,,-1.0,100000,20226.18997192988,-1.0,0.7337133697606442,0.47835999976086896,1.6898410003705067,5.64777499948832,0
vector_search,search,vector,HNSW32,L2,False,100000,10,1,,-1.0,10000,1969.8576029888916,0.92017,0.49523816810487914,0.47509999967587646,0.6348400002025301,0.7756109998808824,0
vector_search,search,vector,HNSW32,L2,False,100000,10,2,,-1.0,10000,2706.2298937659957,0.92017,0.7120803578943196,0.7017299994913628,0.8873909991962137,1.073041000381636,0
vector_search,search,vector,HNSW32,L2,False,100000,10,4,,-1.0,10000,5437.406154210516,0.92017,0.6734465690001343,0.6335200005196384,0.9806799998841598,1.20785099989007,0
vector_search,search,vector,HNSW32,L2,False,100000,10,8,,-1.0,10000,7765.84986037733,0.92017,0.8647339818956425,0.8194210004148772,1.2789009997504763,1.6011210000215215,0
vector_search,search,vector,HNSW32,L2,False,100000,10,16,,-1.0,10000,8806.902257464953,0.92017,1.3412685956043788,1.243910999619402,2.223552000032214,3.382453000085661,0
vector_search,insert,vector,HNSW32,L2,True,100000,0,16,,-1.0,100000,585.1332270698006,-1.0,27.285805408409615,27.552243000172894,33.08785999979591,34.818631000234745,0
vector_search,search,vector,HNSW32,L2,True,100000,10,1,,-1.0,10000,1850.1676973036076,0.91963,0.5277280633974442,0.5063610005890951,0.7039709998934995,0.8387100006075343,0
vector_search,search,vector,HNSW32,L2,True,100000,10,2,,-1.0,10000,2654.5294374623672,0.91963,0.7272925154016775,0.7152710004447727,0.9140310003203922,1.10886099992058,0
vector_search,search,vector,HNSW32,L2,True,100000,10,4,,-1.0,10000,5267.517916350195,0.91963,0.6961108701947524,0.6543409999721916,1.003850999950373,1.2442110000847606,0
vector_search,search,vector,HNSW32,L2,True,100000,10,8,,-1.0,10000,7510.489064532159,0.91963,0.8908185008006513,0.8494809999319841,1.3014810001550359,1.6074119994300418,0
vector_search,search,vector,HNSW32,L2,True,100000,10,16,,-1.0,10000,8584.248329579064,0.91963,1.3587683237946293,1.2546609996206826,2.26255300003686,3.426983000281325,0
