suite,operation,engine,index_type,metric,wal,num_base,k,concurrency,scenario,selectivity,ops,throughput_ops_sec,recall_at_k,mean_ms,p50_ms,p95_ms,p99_ms,failed
vector_search,insert,vector,"IVF256,Flat",L2,False,100000,0,16,,-1.0,100000,24813.315070019067,-1.0,0.5905857109915632,0.4637199999706354,1.2052499996570987,2.3929799999677925,0
vector_search,search,vector,"IVF256,Flat",L2,False,100000,10,1,,-1.0,10000,2039.5554512898027,0.40875,0.47782416390091387,0.4567099995256285,0.6452700008594547,0.8001099995453842,0
vector_search,search,vector,"IVF256,Flat",L2,False,100000,10,2,,-1.0,10000,3073.630661447985,0.40875,0.6237727304043801,0.6044000001566019,0.812489999589161,1.0423899993838859,0
vector_search,search,vector,"IVF256,Flat",L2,False,100000,10,4,,-1.0,10000,5949.634289545079,0.40875,0.6088154866009063,0.572689999899012,0.8851299999150797,1.179460000457766,0
vector_search,search,vector,"IVF256,Flat",L2,False,100000,10,8,,-1.0,10000,8519.972787312481,0.40875,0.7728560615962123,0.7311499994102633,1.1678299997583963,1.5218099997582613,0
vector_search,search,vector,"IVF256,Flat",L2,False,100000,10,16,,-1.0,10000,9080.993743714436,0.40875,1.2729053498963367,1.1606399993979721,2.140960000360792,3.4795399997165077,0
vector_search,insert,vector,"IVF256,Flat",L2,True,100000,0,16,,-1.0,100000,627.7126307962689,-1.0,25.42745839528223,25.40315999976883,28.89556099944457,30.352269999639248,0
vector_search,search,vector,"IVF256,Flat",L2,True,100000,10,1,,-1.0,10000,2052.432535919697,0.40781,0.47449941880176993,0.4545900001176051,0.6317900006251875,0.784169999860751,0
vector_search,search,vector,"IVF256,Flat",L2,True,100000,10,2,,-1.0,10000,3126.352129709984,0.40781,0.6146912684061135,0.5982709999443614,0.7995599999048864,0.9961700006897445,0
vector_search,search,vector,"IVF256,Flat",L2,True,100000,10,4,,-1.0,10000,5895.245597082885,0.40781,0.6161428585995964,0.5805809996672906,0.8781300002738135,1.1566700004550512,0
vector_search,search,vector,"IVF256,Flat",L2,True,100000,10,8,,-1.0,10000,8305.779449886952,0.40781,0.7818489511976623,0.7352599996011122,1.153870000052848,1.5209410003080848,0
vector_search,search,vector,"IVF256,Flat",L2,True,100000,10,16,,-1.0,10000,8802.31695925145,0.40781,1.2565633547005746,1.1490100005175918,2.1226500002740067,3.288590000011027,0
