suite,operation,engine,index_type,metric,wal,num_base,k,concurrency,scenario,selectivity,ops,throughput_ops_sec,recall_at_k,mean_ms,p50_ms,p95_ms,p99_ms,failed
vector_search,insert,vector,HNSW64,L2,False,1000000,0,16,,-1.0,1000000,16262.672512691193,-1.0,0.9094798956411542,0.4518200003076345,3.6872410055366345,7.262851002451498,0
vector_search,search,vector,HNSW64,L2,False,1000000,10,1,,-1.0,10000,1381.5045618450124,0.9000600000000001,0.6928489206562517,0.6687799977953546,0.9080199961317703,1.0861799964914098,0
vector_search,search,vector,HNSW64,L2,False,1000000,10,2,,-1.0,10000,1816.7136955100557,0.9000600000000001,1.0244648163061356,1.0151400056201965,1.2929600052302703,1.5019999991636723,0
vector_search,search,vector,HNSW64,L2,False,1000000,10,4,,-1.0,10000,3496.981214708642,0.9000600000000001,0.9258151231944793,0.8701100014150143,1.335009998001624,1.5241290020640008,0
vector_search,search,vector,HNSW64,L2,False,1000000,10,8,,-1.0,10000,4461.969784642176,0.9000600000000001,1.0522269439010414,1.008150000416208,1.4590200007660314,1.6989100040518679,0
vector_search,search,vector,HNSW64,L2,False,1000000,10,16,,-1.0,10000,3763.7344173338797,0.9000600000000001,1.5126114066901208,1.4333889994304627,2.295189995493274,2.804619995004032,0
vector_search,insert,vector,HNSW64,L2,True,1000000,0,16,,-1.0,1000000,513.9393021614375,-1.0,31.095614835871878,33.11942199798068,39.80460399907315,43.02385399932973,0
vector_search,search,vector,HNSW64,L2,True,1000000,10,1,,-1.0,10000,1222.6101182945304,0.9004700000000001,0.786104024364613,0.7576999996672384,1.0372200049459934,1.1965300000156276,0
vector_search,search,vector,HNSW64,L2,True,1000000,10,2,,-1.0,10000,1810.0387795188428,0.9004700000000001,1.0273405897096382,1.0203600031672977,1.3139509974280372,1.5230310018523596,0
vector_search,search,vector,HNSW64,L2,True,1000000,10,4,,-1.0,10000,3461.845572113079,0.9004700000000001,0.9191933386166056,0.8671210016473196,1.3084410020383075,1.5556409998680465,0
vector_search,search,vector,HNSW64,L2,True,1000000,10,8,,-1.0,10000,4291.547844335392,0.9004700000000001,1.0833343072190473,1.0371899988967925,1.4947609961382113,1.744471002893988,0
vector_search,search,vector,HNSW64,L2,True,1000000,10,16,,-1.0,10000,3670.427927651138,0.9004700000000001,1.5830834833694098,1.4915110004949383,2.431031003652606,2.9878720015403815,0
