suite,operation,engine,index_type,metric,wal,num_base,k,concurrency,scenario,selectivity,ops,throughput_ops_sec,recall_at_k,mean_ms,p50_ms,p95_ms,p99_ms,failed
vector_search,insert,vector,Flat,L2,False,50000,0,16,,-1.0,50000,25724.915897802297,-1.0,0.5564238203199386,0.43212100001710496,1.1866739999959464,2.295998000022337,0
vector_search,search,vector,Flat,L2,False,50000,10,1,,-1.0,10000,431.77511215457594,0.99998,2.3042750343001273,2.2790089999489282,2.6643209999974715,2.8905910000389667,0
vector_search,search,vector,Flat,L2,False,50000,10,2,,-1.0,10000,690.4083702351376,0.99998,2.8722757019003327,2.4222350000400183,4.42907000001469,4.737170999987939,0
vector_search,search,vector,Flat,L2,False,50000,10,4,,-1.0,10000,1395.5209823816235,0.99998,2.8151454711991164,2.6089259999935166,4.176094000058583,4.704381999999896,0
vector_search,search,vector,Flat,L2,False,50000,10,8,,-1.0,10000,2630.116860560685,0.99998,2.917653341900825,2.772095000068475,4.1196239999408135,4.777882000098543,0
vector_search,search,vector,Flat,L2,False,50000,10,16,,-1.0,10000,3689.500150253398,0.99998,3.9795959832999075,3.706964999992124,6.025540999985424,7.3746100000562365,0
vector_search,insert,vector,Flat,L2,True,50000,0,16,,-1.0,50000,640.051021467481,-1.0,24.88552056843992,24.709338999969077,28.269087000012405,29.664372000070216,0
vector_search,search,vector,Flat,L2,True,50000,10,1,,-1.0,10000,419.19265117575304,0.99998,2.373865768300004,2.345665000007102,2.758756000048379,2.964256000041132,0
vector_search,search,vector,Flat,L2,True,50000,10,2,,-1.0,10000,681.745902172486,0.99998,2.9096693738005457,2.4855259999867485,4.509209999923769,4.839650999997502,0
vector_search,search,vector,Flat,L2,True,50000,10,4,,-1.0,10000,1379.8202034280305,0.99998,2.8486620660009407,2.6363870000523093,4.224970999985089,4.688502000021799,0
vector_search,search,vector,Flat,L2,True,50000,10,8,,-1.0,10000,2524.1248227703654,0.99998,3.0483424695994814,2.8805370000100083,4.303601000060553,4.9075719999791545,0
vector_search,search,vector,Flat,L2,True,50000,10,16,,-1.0,10000,3509.590856523497,0.99998,4.209110743300641,3.9250600000286795,6.41135699993356,7.83975100000589,0
