suite,operation,engine,index_type,metric,wal,num_base,k,concurrency,scenario,selectivity,ops,throughput_ops_sec,recall_at_k,mean_ms,p50_ms,p95_ms,p99_ms,failed
metadata_filter,insert,vector,Flat,L2,False,500000,0,16,,-1.0,500000,24008.95546485351,-1.0,0.6268037190254109,0.48008999874582514,1.0832799998752307,4.956561002472881,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,1,category_eq,0.1,10000,23.658389012369696,0.9999399999999999,42.24399081129559,42.04463899804978,45.03578000003472,46.598859000368975,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,2,category_eq,0.1,10000,47.19194829014993,0.9999399999999999,42.32151394718349,42.03564300041762,45.80500299925916,52.15381299785804,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,4,category_eq,0.1,10000,91.43543696546402,0.9999399999999999,43.47510011009908,42.83776400188799,49.61184499916271,54.88760500156786,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,8,category_eq,0.1,10000,171.06349436203516,0.9999399999999999,46.10756860799774,45.22976499720244,54.37214600169682,59.854677001567325,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,16,category_eq,0.1,10000,277.38547741463384,0.9999399999999999,55.51085716039815,53.02526599916746,74.78237800023635,88.49853900028393,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,1,year_between,0.2,10000,12.500594286690292,0.9996,79.97191055448238,78.61608099847217,83.67535100114765,128.36735699966084,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,2,year_between,0.2,10000,23.7059314134209,0.9996,84.30266557450012,83.56004199958988,92.37062400279683,101.0077850005473,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,4,year_between,0.2,10000,46.032907251149716,0.9996,86.44368728590197,85.45960500123329,96.78731600070023,105.22384500291082,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,8,year_between,0.2,10000,86.25530238645736,0.9996,89.99442839211042,88.51238699935493,103.98870899734902,115.02401799953077,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,16,year_between,0.2,10000,137.81628935118317,0.9996,112.54854857051286,107.75893900063238,146.2907630011614,168.52726499928394,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,1,price_lt_500_and_cat_in,0.15,10000,15.888133231898108,0.9998600000000001,62.91630906690989,62.5116449991765,66.32345799880568,68.6920869993628,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,2,price_lt_500_and_cat_in,0.15,10000,30.752978397168363,0.9998600000000001,64.97176729890234,64.64903799860622,69.17180900200037,77.28876100009074,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,4,price_lt_500_and_cat_in,0.15,10000,57.29573075998016,0.9998600000000001,69.39566897149197,68.17763899744023,79.70023099915124,87.7992620007717,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,8,price_lt_500_and_cat_in,0.15,10000,107.25375206135442,0.9998600000000001,73.54558866511144,72.14481000119122,85.46710199880181,95.00077299890108,0
metadata_filter,filtered_search,vector,Flat,L2,False,500000,10,16,price_lt_500_and_cat_in,0.15,10000,169.11677978930342,0.9998600000000001,91.98591347819747,87.90276200306835,119.91915699763922,134.24205900082598,0
metadata_filter,insert,vector,Flat,L2,True,500000,0,16,,-1.0,500000,460.66206016905727,-1.0,34.68787996074655,34.533253998233704,40.77736600083881,43.862415997864446,0
metadata_filter,filtered_search,vector,Flat,L2,True,500000,10,1,category_eq,0.1,10000,23.83803470758505,0.9999399999999999,41.92510787089486,41.72229699906893,44.550986000103876,47.5918170013756,0
metadata_filter,filtered_search,vector,Flat,L2,True,500000,10,2,category_eq,0.1,10000,43.02520283504328,0.9999399999999999,46.42547967681312,43.96265700052027,66.37931899967953,73.27296000221395,0
metadata_filter,filtered_search,vector,Flat,L2,True,500000,10,4,category_eq,0.1,10000,88.05366173586637,0.9999399999999999,45.1117981157924,44.396815999789396,52.200317000824725,57.46158799956902,0
metadata_filter,filtered_search,vector,Flat,L2,True,500000,10,8,category_eq,0.1,10000,168.41872883321926,0.9999399999999999,46.73418571510992,46.046365998336114,55.45824699947843,60.88009800077998,0
metadata_filter,filtered_search,vector,Flat,L2,True,500000,10,16,category_eq,0.1,10000,266.7320568697286,0.9999399999999999,57.80820569050702,55.25030799981323,77.35848099764553,91.63148299921886,0
metadata_filter,filtered_search,vector,Flat,L2,True,500000,10,1,year_between,0.2,10000,12.397428937815675,0.9996,80.63797070199944,80.23012099874904,85.94826300031855,92.67988200008404,0
metadata_filter,filtered_search,vector,Flat,L2,True,500000,10,2,year_between,0.2,10000,23.529714743444572,0.9996,84.93968119060227,84.41610499721719,92.8586770023685,101.44475899869576,0
metadata_filter,filtered_search,vector,Flat,L2,True,500000,10,4,year_between,0.2,10000,45.88967767515967,0.9996,86.67528444720047,85.7989149990317,97.02286600077059,105.54025800229283,0
